"","sale_year","sale_month","ZCTA","year_month","variable","value"
"86",2018,"January","68134",2018-01-01,"Mean monthly sale price",148.35
"87",2018,"January","68134",2018-01-01,"Sum of all sales",3560.4
"88",2018,"January","68134",2018-01-01,"Total number of sales",24
"89",2018,"January","68135",2018-01-01,"Median monthly sale price",235.25
"90",2018,"January","68135",2018-01-01,"Mean monthly sale price",253.667545454545
"91",2018,"January","68135",2018-01-01,"Sum of all sales",11161.372
"92",2018,"January","68135",2018-01-01,"Total number of sales",44
"93",2018,"January","68137",2018-01-01,"Median monthly sale price",175
"94",2018,"January","68137",2018-01-01,"Mean monthly sale price",180.65
"95",2018,"January","68137",2018-01-01,"Sum of all sales",4516.25
"96",2018,"January","68137",2018-01-01,"Total number of sales",25
"97",2018,"January","68142",2018-01-01,"Median monthly sale price",203
"98",2018,"January","68142",2018-01-01,"Mean monthly sale price",216.802476190476
"99",2018,"January","68142",2018-01-01,"Sum of all sales",4552.852
"100",2018,"January","68142",2018-01-01,"Total number of sales",21
"101",2018,"January","68144",2018-01-01,"Median monthly sale price",168
"102",2018,"January","68144",2018-01-01,"Mean monthly sale price",177.785714285714
"103",2018,"January","68144",2018-01-01,"Sum of all sales",2489
"104",2018,"January","68144",2018-01-01,"Total number of sales",14
"105",2018,"January","68152",2018-01-01,"Median monthly sale price",156
"106",2018,"January","68152",2018-01-01,"Mean monthly sale price",193.298666666667
"107",2018,"January","68152",2018-01-01,"Sum of all sales",1159.792
"108",2018,"January","68152",2018-01-01,"Total number of sales",6
"109",2018,"January","68154",2018-01-01,"Median monthly sale price",239.75
"110",2018,"January","68154",2018-01-01,"Mean monthly sale price",252.861111111111
"111",2018,"January","68154",2018-01-01,"Sum of all sales",4551.5
"112",2018,"January","68154",2018-01-01,"Total number of sales",18
"113",2018,"January","68164",2018-01-01,"Median monthly sale price",167.5
"114",2018,"January","68164",2018-01-01,"Mean monthly sale price",200.059459459459
"115",2018,"January","68164",2018-01-01,"Sum of all sales",7402.2
"116",2018,"January","68164",2018-01-01,"Total number of sales",37
"117",2018,"February","68007",2018-02-01,"Median monthly sale price",215.5
"118",2018,"February","68007",2018-02-01,"Mean monthly sale price",219.783815789474
"119",2018,"February","68007",2018-02-01,"Sum of all sales",8351.785
"120",2018,"February","68007",2018-02-01,"Total number of sales",38
"121",2018,"February","68022",2018-02-01,"Median monthly sale price",298.45
"122",2018,"February","68022",2018-02-01,"Mean monthly sale price",283.387218181818
"123",2018,"February","68022",2018-02-01,"Sum of all sales",15586.297
"124",2018,"February","68022",2018-02-01,"Total number of sales",55
"125",2018,"February","68102",2018-02-01,"Median monthly sale price",325
"126",2018,"February","68102",2018-02-01,"Mean monthly sale price",294.857142857143
"127",2018,"February","68102",2018-02-01,"Sum of all sales",2064
"128",2018,"February","68102",2018-02-01,"Total number of sales",7
"129",2018,"February","68104",2018-02-01,"Median monthly sale price",116.5
"130",2018,"February","68104",2018-02-01,"Mean monthly sale price",120.421153846154
"131",2018,"February","68104",2018-02-01,"Sum of all sales",3130.95
"132",2018,"February","68104",2018-02-01,"Total number of sales",26
"133",2018,"February","68105",2018-02-01,"Median monthly sale price",144
"134",2018,"February","68105",2018-02-01,"Mean monthly sale price",163.410714285714
"135",2018,"February","68105",2018-02-01,"Sum of all sales",2287.75
"136",2018,"February","68105",2018-02-01,"Total number of sales",14
"137",2018,"February","68106",2018-02-01,"Median monthly sale price",164.9
"138",2018,"February","68106",2018-02-01,"Mean monthly sale price",184.488235294118
"139",2018,"February","68106",2018-02-01,"Sum of all sales",3136.3
"140",2018,"February","68106",2018-02-01,"Total number of sales",17
"141",2018,"February","68107",2018-02-01,"Median monthly sale price",108.5
"142",2018,"February","68107",2018-02-01,"Mean monthly sale price",107.564285714286
"143",2018,"February","68107",2018-02-01,"Sum of all sales",1505.9
"144",2018,"February","68107",2018-02-01,"Total number of sales",14
"145",2018,"February","68108",2018-02-01,"Median monthly sale price",260
"146",2018,"February","68108",2018-02-01,"Mean monthly sale price",227.5
"147",2018,"February","68108",2018-02-01,"Sum of all sales",2047.5
"148",2018,"February","68108",2018-02-01,"Total number of sales",9
"149",2018,"February","68110",2018-02-01,"Median monthly sale price",52.5
"150",2018,"February","68110",2018-02-01,"Mean monthly sale price",52.9606666666667
"151",2018,"February","68110",2018-02-01,"Sum of all sales",158.882
"152",2018,"February","68110",2018-02-01,"Total number of sales",3
"153",2018,"February","68111",2018-02-01,"Median monthly sale price",54
"154",2018,"February","68111",2018-02-01,"Mean monthly sale price",64.3555555555556
"155",2018,"February","68111",2018-02-01,"Sum of all sales",579.2
"156",2018,"February","68111",2018-02-01,"Total number of sales",9
"157",2018,"February","68112",2018-02-01,"Median monthly sale price",102.45
"158",2018,"February","68112",2018-02-01,"Mean monthly sale price",101.95
"159",2018,"February","68112",2018-02-01,"Sum of all sales",1019.5
"160",2018,"February","68112",2018-02-01,"Total number of sales",10
"161",2018,"February","68114",2018-02-01,"Median monthly sale price",260.6285
"162",2018,"February","68114",2018-02-01,"Mean monthly sale price",321.2348125
"163",2018,"February","68114",2018-02-01,"Sum of all sales",5139.757
"164",2018,"February","68114",2018-02-01,"Total number of sales",16
"165",2018,"February","68116",2018-02-01,"Median monthly sale price",211.5
"166",2018,"February","68116",2018-02-01,"Mean monthly sale price",216.458551020408
"167",2018,"February","68116",2018-02-01,"Sum of all sales",10606.469
"168",2018,"February","68116",2018-02-01,"Total number of sales",49
"169",2018,"February","68117",2018-02-01,"Median monthly sale price",110
"170",2018,"February","68117",2018-02-01,"Mean monthly sale price",109.114285714286
"171",2018,"February","68117",2018-02-01,"Sum of all sales",763.8
"172",2018,"February","68117",2018-02-01,"Total number of sales",7
"173",2018,"February","68118",2018-02-01,"Median monthly sale price",305
"174",2018,"February","68118",2018-02-01,"Mean monthly sale price",358.026875
"175",2018,"February","68118",2018-02-01,"Sum of all sales",2864.215
"176",2018,"February","68118",2018-02-01,"Total number of sales",8
"177",2018,"February","68122",2018-02-01,"Median monthly sale price",168.3
"178",2018,"February","68122",2018-02-01,"Mean monthly sale price",168.663636363636
"179",2018,"February","68122",2018-02-01,"Sum of all sales",3710.6
"180",2018,"February","68122",2018-02-01,"Total number of sales",22
"181",2018,"February","68124",2018-02-01,"Median monthly sale price",237.5
"182",2018,"February","68124",2018-02-01,"Mean monthly sale price",255.722222222222
"183",2018,"February","68124",2018-02-01,"Sum of all sales",4603
"184",2018,"February","68124",2018-02-01,"Total number of sales",18
"185",2018,"February","68127",2018-02-01,"Median monthly sale price",164
"186",2018,"February","68127",2018-02-01,"Mean monthly sale price",174.658333333333
"187",2018,"February","68127",2018-02-01,"Sum of all sales",2095.9
"188",2018,"February","68127",2018-02-01,"Total number of sales",12
"189",2018,"February","68130",2018-02-01,"Median monthly sale price",232.5
"190",2018,"February","68130",2018-02-01,"Mean monthly sale price",260.8125
"191",2018,"February","68130",2018-02-01,"Sum of all sales",3651.375
"192",2018,"February","68130",2018-02-01,"Total number of sales",14
"193",2018,"February","68131",2018-02-01,"Median monthly sale price",123.375
"194",2018,"February","68131",2018-02-01,"Mean monthly sale price",124.9375
"195",2018,"February","68131",2018-02-01,"Sum of all sales",499.75
"196",2018,"February","68131",2018-02-01,"Total number of sales",4
"197",2018,"February","68132",2018-02-01,"Median monthly sale price",207.5
"198",2018,"February","68132",2018-02-01,"Mean monthly sale price",252.55
"199",2018,"February","68132",2018-02-01,"Sum of all sales",2525.5
"200",2018,"February","68132",2018-02-01,"Total number of sales",10
"201",2018,"February","68134",2018-02-01,"Median monthly sale price",152
"202",2018,"February","68134",2018-02-01,"Mean monthly sale price",161.820588235294
"203",2018,"February","68134",2018-02-01,"Sum of all sales",2750.95
"204",2018,"February","68134",2018-02-01,"Total number of sales",17
"205",2018,"February","68135",2018-02-01,"Median monthly sale price",256.95
"206",2018,"February","68135",2018-02-01,"Mean monthly sale price",241.678375
"207",2018,"February","68135",2018-02-01,"Sum of all sales",7733.708
"208",2018,"February","68135",2018-02-01,"Total number of sales",32
"209",2018,"February","68137",2018-02-01,"Median monthly sale price",156
"210",2018,"February","68137",2018-02-01,"Mean monthly sale price",176.651421052632
"211",2018,"February","68137",2018-02-01,"Sum of all sales",3356.377
"212",2018,"February","68137",2018-02-01,"Total number of sales",19
"213",2018,"February","68142",2018-02-01,"Median monthly sale price",194.85
"214",2018,"February","68142",2018-02-01,"Mean monthly sale price",197.78025
"215",2018,"February","68142",2018-02-01,"Sum of all sales",3955.605
"216",2018,"February","68142",2018-02-01,"Total number of sales",20
"217",2018,"February","68144",2018-02-01,"Median monthly sale price",170
"218",2018,"February","68144",2018-02-01,"Mean monthly sale price",185.752173913043
"219",2018,"February","68144",2018-02-01,"Sum of all sales",4272.3
"220",2018,"February","68144",2018-02-01,"Total number of sales",23
"221",2018,"February","68152",2018-02-01,"Median monthly sale price",147
"222",2018,"February","68152",2018-02-01,"Mean monthly sale price",226.72
"223",2018,"February","68152",2018-02-01,"Sum of all sales",1133.6
"224",2018,"February","68152",2018-02-01,"Total number of sales",5
"225",2018,"February","68154",2018-02-01,"Median monthly sale price",192.9
"226",2018,"February","68154",2018-02-01,"Mean monthly sale price",213.538764705882
"227",2018,"February","68154",2018-02-01,"Sum of all sales",3630.159
"228",2018,"February","68154",2018-02-01,"Total number of sales",17
"229",2018,"February","68164",2018-02-01,"Median monthly sale price",169
"230",2018,"February","68164",2018-02-01,"Mean monthly sale price",193.3842
"231",2018,"February","68164",2018-02-01,"Sum of all sales",3867.684
"232",2018,"February","68164",2018-02-01,"Total number of sales",20
"233",2018,"March","68007",2018-03-01,"Median monthly sale price",242.5
"234",2018,"March","68007",2018-03-01,"Mean monthly sale price",230.121177419355
"235",2018,"March","68007",2018-03-01,"Sum of all sales",14267.513
"236",2018,"March","68007",2018-03-01,"Total number of sales",62
"237",2018,"March","68022",2018-03-01,"Median monthly sale price",287.5
"238",2018,"March","68022",2018-03-01,"Mean monthly sale price",272.74271559633
"239",2018,"March","68022",2018-03-01,"Sum of all sales",29728.956
"240",2018,"March","68022",2018-03-01,"Total number of sales",109
"241",2018,"March","68102",2018-03-01,"Median monthly sale price",158.5
"242",2018,"March","68102",2018-03-01,"Mean monthly sale price",240.083333333333
"243",2018,"March","68102",2018-03-01,"Sum of all sales",1440.5
"244",2018,"March","68102",2018-03-01,"Total number of sales",6
"245",2018,"March","68104",2018-03-01,"Median monthly sale price",123
"246",2018,"March","68104",2018-03-01,"Mean monthly sale price",135.913829787234
"247",2018,"March","68104",2018-03-01,"Sum of all sales",6387.95
"248",2018,"March","68104",2018-03-01,"Total number of sales",47
"249",2018,"March","68105",2018-03-01,"Median monthly sale price",136
"250",2018,"March","68105",2018-03-01,"Mean monthly sale price",141.285
"251",2018,"March","68105",2018-03-01,"Sum of all sales",2825.7
"252",2018,"March","68105",2018-03-01,"Total number of sales",20
"253",2018,"March","68106",2018-03-01,"Median monthly sale price",151.5
"254",2018,"March","68106",2018-03-01,"Mean monthly sale price",169.840625
"255",2018,"March","68106",2018-03-01,"Sum of all sales",2717.45
"256",2018,"March","68106",2018-03-01,"Total number of sales",16
"257",2018,"March","68107",2018-03-01,"Median monthly sale price",122.5
"258",2018,"March","68107",2018-03-01,"Mean monthly sale price",122.99
"259",2018,"March","68107",2018-03-01,"Sum of all sales",2459.8
"260",2018,"March","68107",2018-03-01,"Total number of sales",20
"261",2018,"March","68108",2018-03-01,"Median monthly sale price",81.2575
"262",2018,"March","68108",2018-03-01,"Mean monthly sale price",106.551071428571
"263",2018,"March","68108",2018-03-01,"Sum of all sales",1491.715
"264",2018,"March","68108",2018-03-01,"Total number of sales",14
"265",2018,"March","68110",2018-03-01,"Median monthly sale price",41.5
"266",2018,"March","68110",2018-03-01,"Mean monthly sale price",41.5
"267",2018,"March","68110",2018-03-01,"Sum of all sales",41.5
"268",2018,"March","68110",2018-03-01,"Total number of sales",1
"269",2018,"March","68111",2018-03-01,"Median monthly sale price",65.5
"270",2018,"March","68111",2018-03-01,"Mean monthly sale price",64.9875
"271",2018,"March","68111",2018-03-01,"Sum of all sales",519.9
"272",2018,"March","68111",2018-03-01,"Total number of sales",8
"273",2018,"March","68112",2018-03-01,"Median monthly sale price",115
"274",2018,"March","68112",2018-03-01,"Mean monthly sale price",113.357142857143
"275",2018,"March","68112",2018-03-01,"Sum of all sales",793.5
"276",2018,"March","68112",2018-03-01,"Total number of sales",7
"277",2018,"March","68114",2018-03-01,"Median monthly sale price",170
"278",2018,"March","68114",2018-03-01,"Mean monthly sale price",267.646153846154
"279",2018,"March","68114",2018-03-01,"Sum of all sales",3479.4
"280",2018,"March","68114",2018-03-01,"Total number of sales",13
"281",2018,"March","68116",2018-03-01,"Median monthly sale price",197.8775
"282",2018,"March","68116",2018-03-01,"Mean monthly sale price",223.645621212121
"283",2018,"March","68116",2018-03-01,"Sum of all sales",14760.611
"284",2018,"March","68116",2018-03-01,"Total number of sales",66
"285",2018,"March","68117",2018-03-01,"Median monthly sale price",121
"286",2018,"March","68117",2018-03-01,"Mean monthly sale price",126
"287",2018,"March","68117",2018-03-01,"Sum of all sales",756
"288",2018,"March","68117",2018-03-01,"Total number of sales",6
"289",2018,"March","68118",2018-03-01,"Median monthly sale price",327.5
"290",2018,"March","68118",2018-03-01,"Mean monthly sale price",373.59
"291",2018,"March","68118",2018-03-01,"Sum of all sales",3735.9
"292",2018,"March","68118",2018-03-01,"Total number of sales",10
"293",2018,"March","68122",2018-03-01,"Median monthly sale price",164
"294",2018,"March","68122",2018-03-01,"Mean monthly sale price",166.395333333333
"295",2018,"March","68122",2018-03-01,"Sum of all sales",4991.86
"296",2018,"March","68122",2018-03-01,"Total number of sales",30
"297",2018,"March","68124",2018-03-01,"Median monthly sale price",175
"298",2018,"March","68124",2018-03-01,"Mean monthly sale price",221.588235294118
"299",2018,"March","68124",2018-03-01,"Sum of all sales",3767
"300",2018,"March","68124",2018-03-01,"Total number of sales",17
"301",2018,"March","68127",2018-03-01,"Median monthly sale price",159.95
"302",2018,"March","68127",2018-03-01,"Mean monthly sale price",174.89
"303",2018,"March","68127",2018-03-01,"Sum of all sales",3497.8
"304",2018,"March","68127",2018-03-01,"Total number of sales",20
"305",2018,"March","68130",2018-03-01,"Median monthly sale price",285.25
"306",2018,"March","68130",2018-03-01,"Mean monthly sale price",325.4875
"307",2018,"March","68130",2018-03-01,"Sum of all sales",7811.7
"308",2018,"March","68130",2018-03-01,"Total number of sales",24
"309",2018,"March","68131",2018-03-01,"Median monthly sale price",182.375
"310",2018,"March","68131",2018-03-01,"Mean monthly sale price",261.749166666667
"311",2018,"March","68131",2018-03-01,"Sum of all sales",3140.99
"312",2018,"March","68131",2018-03-01,"Total number of sales",12
"313",2018,"March","68132",2018-03-01,"Median monthly sale price",210
"314",2018,"March","68132",2018-03-01,"Mean monthly sale price",217.954545454545
"315",2018,"March","68132",2018-03-01,"Sum of all sales",2397.5
"316",2018,"March","68132",2018-03-01,"Total number of sales",11
"317",2018,"March","68134",2018-03-01,"Median monthly sale price",160
"318",2018,"March","68134",2018-03-01,"Mean monthly sale price",167.78
"319",2018,"March","68134",2018-03-01,"Sum of all sales",4194.5
"320",2018,"March","68134",2018-03-01,"Total number of sales",25
"321",2018,"March","68135",2018-03-01,"Median monthly sale price",222.5
"322",2018,"March","68135",2018-03-01,"Mean monthly sale price",229.288365853659
"323",2018,"March","68135",2018-03-01,"Sum of all sales",9400.823
"324",2018,"March","68135",2018-03-01,"Total number of sales",41
"325",2018,"March","68137",2018-03-01,"Median monthly sale price",177.5
"326",2018,"March","68137",2018-03-01,"Mean monthly sale price",177.184615384615
"327",2018,"March","68137",2018-03-01,"Sum of all sales",4606.8
"328",2018,"March","68137",2018-03-01,"Total number of sales",26
"329",2018,"March","68142",2018-03-01,"Median monthly sale price",215.6
"330",2018,"March","68142",2018-03-01,"Mean monthly sale price",267.18780952381
"331",2018,"March","68142",2018-03-01,"Sum of all sales",5610.944
"332",2018,"March","68142",2018-03-01,"Total number of sales",21
"333",2018,"March","68144",2018-03-01,"Median monthly sale price",183
"334",2018,"March","68144",2018-03-01,"Mean monthly sale price",217.51
"335",2018,"March","68144",2018-03-01,"Sum of all sales",5437.75
"336",2018,"March","68144",2018-03-01,"Total number of sales",25
"337",2018,"March","68152",2018-03-01,"Median monthly sale price",189.5
"338",2018,"March","68152",2018-03-01,"Mean monthly sale price",226.801625
"339",2018,"March","68152",2018-03-01,"Sum of all sales",1814.413
"340",2018,"March","68152",2018-03-01,"Total number of sales",8
"341",2018,"March","68154",2018-03-01,"Median monthly sale price",215
"342",2018,"March","68154",2018-03-01,"Mean monthly sale price",242.844444444444
"343",2018,"March","68154",2018-03-01,"Sum of all sales",6556.8
"344",2018,"March","68154",2018-03-01,"Total number of sales",27
"345",2018,"March","68164",2018-03-01,"Median monthly sale price",167
"346",2018,"March","68164",2018-03-01,"Mean monthly sale price",172.72972972973
"347",2018,"March","68164",2018-03-01,"Sum of all sales",6391
"348",2018,"March","68164",2018-03-01,"Total number of sales",37
"349",2018,"April","68007",2018-04-01,"Median monthly sale price",234.9
"350",2018,"April","68007",2018-04-01,"Mean monthly sale price",234.7515
"351",2018,"April","68007",2018-04-01,"Sum of all sales",17371.611
"352",2018,"April","68007",2018-04-01,"Total number of sales",74
"353",2018,"April","68022",2018-04-01,"Median monthly sale price",170
"354",2018,"April","68022",2018-04-01,"Mean monthly sale price",231.125263565891
"355",2018,"April","68022",2018-04-01,"Sum of all sales",29815.159
"356",2018,"April","68022",2018-04-01,"Total number of sales",129
"357",2018,"April","68102",2018-04-01,"Median monthly sale price",138
"358",2018,"April","68102",2018-04-01,"Mean monthly sale price",138
"359",2018,"April","68102",2018-04-01,"Sum of all sales",276
"360",2018,"April","68102",2018-04-01,"Total number of sales",2
"361",2018,"April","68104",2018-04-01,"Median monthly sale price",125.5
"362",2018,"April","68104",2018-04-01,"Mean monthly sale price",143.431
"363",2018,"April","68104",2018-04-01,"Sum of all sales",6310.964
"364",2018,"April","68104",2018-04-01,"Total number of sales",44
"365",2018,"April","68105",2018-04-01,"Median monthly sale price",140
"366",2018,"April","68105",2018-04-01,"Mean monthly sale price",153.880952380952
"367",2018,"April","68105",2018-04-01,"Sum of all sales",3231.5
"368",2018,"April","68105",2018-04-01,"Total number of sales",21
"369",2018,"April","68106",2018-04-01,"Median monthly sale price",145
"370",2018,"April","68106",2018-04-01,"Mean monthly sale price",165.473333333333
"371",2018,"April","68106",2018-04-01,"Sum of all sales",2978.52
"372",2018,"April","68106",2018-04-01,"Total number of sales",18
"373",2018,"April","68107",2018-04-01,"Median monthly sale price",101.5
"374",2018,"April","68107",2018-04-01,"Mean monthly sale price",100.066666666667
"375",2018,"April","68107",2018-04-01,"Sum of all sales",1801.2
"376",2018,"April","68107",2018-04-01,"Total number of sales",18
"377",2018,"April","68108",2018-04-01,"Median monthly sale price",104.9
"378",2018,"April","68108",2018-04-01,"Mean monthly sale price",120.014285714286
"379",2018,"April","68108",2018-04-01,"Sum of all sales",840.1
"380",2018,"April","68108",2018-04-01,"Total number of sales",7
"381",2018,"April","68110",2018-04-01,"Median monthly sale price",64
"382",2018,"April","68110",2018-04-01,"Mean monthly sale price",69.6666666666667
"383",2018,"April","68110",2018-04-01,"Sum of all sales",209
"384",2018,"April","68110",2018-04-01,"Total number of sales",3
"385",2018,"April","68111",2018-04-01,"Median monthly sale price",69.0975
"386",2018,"April","68111",2018-04-01,"Mean monthly sale price",70.3941666666667
"387",2018,"April","68111",2018-04-01,"Sum of all sales",1267.095
"388",2018,"April","68111",2018-04-01,"Total number of sales",18
"389",2018,"April","68112",2018-04-01,"Median monthly sale price",110.7
